plz,bundesland,ort
38274,Niedersachsen,Elbe
57580,Rheinland-Pfalz,Elben
39307,Sachsen-Anhalt,Elbe-Parey
39317,Sachsen-Anhalt,Elbe-Parey
56459,Rheinland-Pfalz,Elbingen
37412,Niedersachsen,Elbingerode
65627,Hessen,Elbtal
76477,Baden-Württemberg,Elchesheim-Illingen
89081,Bayern,Elchingen
89275,Bayern,Elchingen
55765,Rheinland-Pfalz,Elchweiler
19294,Mecklenburg-Vorpommern,Eldena
17209,Mecklenburg-Vorpommern,Eldetal
29351,Niedersachsen,Eldingen
97725,Bayern,Elfershausen
98716,Thüringen,Elgersburg
25845,Schleswig-Holstein,Elisabeth-Sophien-Koog
57578,Rheinland-Pfalz,Elkenroth
99334,Thüringen,Elleben
8236,Sachsen,Ellefeld
73488,Baden-Württemberg,Ellenberg
55765,Rheinland-Pfalz,Ellenberg
56242,Rheinland-Pfalz,Ellenhausen
56821,Rheinland-Pfalz,Ellenz-Poltersdorf
25479,Schleswig-Holstein,Ellerau
25474,Schleswig-Holstein,Ellerbek
24589,Schleswig-Holstein,Ellerdorf
25373,Schleswig-Holstein,Ellerhoop
55497,Rheinland-Pfalz,Ellern (Hunsrück)
67158,Rheinland-Pfalz,Ellerstadt
86679,Bayern,Ellgau
74248,Baden-Württemberg,Ellhofen
25923,Schleswig-Holstein,Ellhöft
91792,Bayern,Ellingen
98617,Thüringen,Ellingshausen
24870,Schleswig-Holstein,Ellingstedt
99755,Thüringen,Ellrich
54552,Rheinland-Pfalz,Ellscheid
73479,Baden-Württemberg,Ellwangen (Jagst)
55765,Rheinland-Pfalz,Ellweiler
89352,Bayern,Ellzee
18510,Mecklenburg-Vorpommern,Elmenhorst
23869,Schleswig-Holstein,Elmenhorst
21493,Schleswig-Holstein,Elmenhorst
18107,Mecklenburg-Vorpommern,Elmenhorst/Lichtenhagen
25335,Schleswig-Holstein,Elmshorn
25336,Schleswig-Holstein,Elmshorn
25337,Schleswig-Holstein,Elmshorn
67471,Rheinland-Pfalz,Elmstein
25704,Schleswig-Holstein,Elpersbüttel
50189,Nordrhein-Westfalen,Elsdorf
27404,Niedersachsen,Elsdorf
24800,Schleswig-Holstein,Elsdorf-Westermühlen
84094,Bayern,Elsendorf
63820,Bayern,Elsenfeld
26931,Niedersachsen,Elsfleth
25361,Schleswig-Holstein,Elskop
4880,Sachsen,Elsnig
56479,Rheinland-Pfalz,Elsoff (Westerwald)
6729,Sachsen-Anhalt,Elsteraue
7985,Sachsen,Elsterberg
2979,Sachsen,Elsterheide - Halštrowska Hola
4523,Sachsen,Elstertrebnitz
4910,Brandenburg,Elsterwerda
1920,Sachsen,Elstra - Halštrow
9481,Sachsen,Elterlein
97483,Bayern,Eltmann
65343,Hessen,Eltville am Rhein
65344,Hessen,Eltville am Rhein
65345,Hessen,Eltville am Rhein
65346,Hessen,Eltville am Rhein
65347,Hessen,Eltville am Rhein
99334,Thüringen,Elxleben
99189,Thüringen,Elxleben
65604,Hessen,Elz
79215,Baden-Württemberg,Elzach
31008,Niedersachsen,Elze
74834,Baden-Württemberg,Elztal
66887,Rheinland-Pfalz,Elzweiler
21409,Niedersachsen,Embsen
24819,Schleswig-Holstein,Embühren
26721,Niedersachsen,Emden
26723,Niedersachsen,Emden
26725,Niedersachsen,Emden
88499,Baden-Württemberg,Emeringen
89607,Baden-Württemberg,Emerkingen
86494,Bayern,Emersacker
24802,Schleswig-Holstein,Emkendorf
99869,Thüringen,Emleben
49824,Niedersachsen,Emlichheim
54673,Rheinland-Pfalz,Emmelbaum
25924,Schleswig-Holstein,Emmelsbüll-Horsbüll
56281,Rheinland-Pfalz,Emmelshausen
79312,Baden-Württemberg,Emmendingen
29579,Niedersachsen,Emmendorf
46446,Nordrhein-Westfalen,Emmerich am Rhein
83550,Bayern,Emmering
82275,Bayern,Emmering
31860,Niedersachsen,Emmerthal
84547,Bayern,Emmerting
57520,Rheinland-Pfalz,Emmerzhausen
78576,Baden-Württemberg,Emmingen-Liptingen
36452,Thüringen,Empfertshausen
72186,Baden-Württemberg,Empfingen
48488,Niedersachsen,Emsbüren
48282,Nordrhein-Westfalen,Emsdetten
91448,Bayern,Emskirchen
49685,Niedersachsen,Emstek
27321,Niedersachsen,Emtinghausen
95517,Bayern,Emtmannsberg
79346,Baden-Württemberg,Endingen
56355,Rheinland-Pfalz,Endlichhofen
7570,Thüringen,Endschütz
48465,Niedersachsen,Engden
25348,Schleswig-Holstein,Engelbrechtsche Wildnis
84549,Bayern,Engelsberg
75331,Baden-Württemberg,Engelsbrand
21710,Niedersachsen,Engelschoff
51766,Nordrhein-Westfalen,Engelskirchen
55270,Rheinland-Pfalz,Engelstadt
91238,Bayern,Engelthal
78234,Baden-Württemberg,Engen
32130,Nordrhein-Westfalen,Enger
25917,Schleswig-Holstein,Enge-Sande
72829,Baden-Württemberg,Engstingen
72800,Baden-Württemberg,Eningen unter Achalm
67677,Rheinland-Pfalz,Enkenbach-Alsenborn
56850,Rheinland-Pfalz,Enkirch
58256,Nordrhein-Westfalen,Ennepetal
59320,Nordrhein-Westfalen,Ennigerloh
54340,Rheinland-Pfalz,Ensch
92266,Bayern,Ensdorf
66806,Saarland,Ensdorf/Saar
59469,Nordrhein-Westfalen,Ense
55232,Rheinland-Pfalz,Ensheim
57647,Rheinland-Pfalz,Enspel
54646,Rheinland-Pfalz,Enzen
75337,Baden-Württemberg,Enzklösterle
25704,Schleswig-Holstein,Epenwöhrden
74925,Baden-Württemberg,Epfenbach
78736,Baden-Württemberg,Epfendorf
66571,Saarland,Eppelborn
69214,Baden-Württemberg,Eppelheim
55234,Rheinland-Pfalz,Eppelsheim
56759,Rheinland-Pfalz,Eppenberg
66957,Rheinland-Pfalz,Eppenbrunn
9575,Sachsen,Eppendorf
65558,Rheinland-Pfalz,Eppenrod
94536,Bayern,Eppenschlag
64859,Hessen,Eppertshausen
75031,Baden-Württemberg,Eppingen
87745,Bayern,Eppishausen
65817,Hessen,Eppstein
64711,Hessen,Erbach
55494,Rheinland-Pfalz,Erbach
89155,Baden-Württemberg,Erbach
92681,Bayern,Erbendorf
98634,Thüringen,Erbenhausen
55234,Rheinland-Pfalz,Erbes-Büdesheim
54492,Rheinland-Pfalz,Erden
66887,Rheinland-Pfalz,Erdesbach
85435,Bayern,Erding
71729,Baden-Württemberg,Erdmannhausen
85253,Bayern,Erdweg
86922,Bayern,Eresing
86926,Bayern,Eresing
86941,Bayern,Eresing
24803,Schleswig-Holstein,Erfde
50374,Nordrhein-Westfalen,Erftstadt
99084,Thüringen,Erfurt
99085,Thüringen,Erfurt
99086,Thüringen,Erfurt
99087,Thüringen,Erfurt
99089,Thüringen,Erfurt
99090,Thüringen,Erfurt
99091,Thüringen,Erfurt
99092,Thüringen,Erfurt
99094,Thüringen,Erfurt
99095,Thüringen,Erfurt
99096,Thüringen,Erfurt
99097,Thüringen,Erfurt
99098,Thüringen,Erfurt
99099,Thüringen,Erfurt
66996,Rheinland-Pfalz,Erfweiler
91465,Bayern,Ergersheim
56368,Rheinland-Pfalz,Ergeshausen
84030,Bayern,Ergolding
84061,Bayern,Ergoldsbach
84513,Bayern,Erharting
94140,Bayern,Ering
88097,Baden-Württemberg,Eriskirch
41812,Nordrhein-Westfalen,Erkelenz
73268,Baden-Württemberg,Erkenbrechtsweiler
38173,Niedersachsen,Erkerode
87746,Bayern,Erkheim
15537,Brandenburg,Erkner
40699,Nordrhein-Westfalen,Erkrath
97250,Bayern,Erlabrunn
91052,Bayern,Erlangen
91054,Bayern,Erlangen
91056,Bayern,Erlangen
91058,Bayern,Erlangen
9306,Sachsen,Erlau
84567,Bayern,Erlbach
74235,Baden-Württemberg,Erlenbach
63906,Bayern,Erlenbach am Main
76891,Rheinland-Pfalz,Erlenbach bei Dahn
76872,Rheinland-Pfalz,Erlenbach bei Kandel
97837,Bayern,Erlenbach b.Marktheidenfeld
88416,Baden-Württemberg,Erlenmoos
63526,Hessen,Erlensee
74391,Baden-Württemberg,Erligheim
96126,Bayern,Ermershausen
57339,Nordrhein-Westfalen,Erndtebrück
85119,Bayern,Ernsgaden
56814,Rheinland-Pfalz,Ernst
54668,Rheinland-Pfalz,Ernzen
88453,Baden-Württemberg,Erolzheim
53579,Rheinland-Pfalz,Erpel
67167,Rheinland-Pfalz,Erpolzheim
57635,Rheinland-Pfalz,Ersfeld
88521,Baden-Württemberg,Ertingen
59597,Nordrhein-Westfalen,Erwitte
39343,Sachsen-Anhalt,Erxleben
67685,Rheinland-Pfalz,Erzenhausen
64390,Hessen,Erzhausen
54585,Rheinland-Pfalz,Esch
54518,Rheinland-Pfalz,Esch
73569,Baden-Württemberg,Eschach
63863,Bayern,Eschau
56357,Rheinland-Pfalz,Eschbach
76831,Rheinland-Pfalz,Eschbach
79427,Baden-Württemberg,Eschbach
65760,Hessen,Eschborn
78664,Baden-Württemberg,Eschbronn
49828,Niedersachsen,Esche
21039,Schleswig-Holstein,Escheburg
29348,Niedersachsen,Eschede
29359,Niedersachsen,Eschede
29361,Niedersachsen,Eschede
74927,Baden-Württemberg,Eschelbronn
73037,Baden-Württemberg,Eschenbach
73107,Baden-Württemberg,Eschenbach
92676,Bayern,Eschenbach i.d.OPf.
99869,Thüringen,Eschenbergen
35713,Hessen,Eschenburg
82438,Bayern,Eschenlohe
37632,Niedersachsen,Eschershausen
54619,Rheinland-Pfalz,Eschfeld
93458,Bayern,Eschlkam
37269,Hessen,Eschwege
52249,Nordrhein-Westfalen,Eschweiler
26427,Niedersachsen,Esens
24402,Schleswig-Holstein,Esgrus
92693,Bayern,Eslarn
59889,Nordrhein-Westfalen,Eslohe
32339,Nordrhein-Westfalen,Espelkamp
34314,Hessen,Espenau
7924,Thüringen,Eßbach
29690,Niedersachsen,Essel
97839,Bayern,Esselbach
55234,Rheinland-Pfalz,Esselborn
45127,Nordrhein-Westfalen,Essen
45128,Nordrhein-Westfalen,Essen
45130,Nordrhein-Westfalen,Essen
45131,Nordrhein-Westfalen,Essen
45133,Nordrhein-Westfalen,Essen
45134,Nordrhein-Westfalen,Essen
45136,Nordrhein-Westfalen,Essen
45138,Nordrhein-Westfalen,Essen
45139,Nordrhein-Westfalen,Essen
45141,Nordrhein-Westfalen,Essen
45143,Nordrhein-Westfalen,Essen
45144,Nordrhein-Westfalen,Essen
45145,Nordrhein-Westfalen,Essen
45147,Nordrhein-Westfalen,Essen
45149,Nordrhein-Westfalen,Essen
45219,Nordrhein-Westfalen,Essen
45239,Nordrhein-Westfalen,Essen
45257,Nordrhein-Westfalen,Essen
45259,Nordrhein-Westfalen,Essen
45276,Nordrhein-Westfalen,Essen
45277,Nordrhein-Westfalen,Essen
45279,Nordrhein-Westfalen,Essen
45289,Nordrhein-Westfalen,Essen
45307,Nordrhein-Westfalen,Essen
45309,Nordrhein-Westfalen,Essen
45326,Nordrhein-Westfalen,Essen
45327,Nordrhein-Westfalen,Essen
45329,Nordrhein-Westfalen,Essen
45355,Nordrhein-Westfalen,Essen
45356,Nordrhein-Westfalen,Essen
45357,Nordrhein-Westfalen,Essen
45359,Nordrhein-Westfalen,Essen
84051,Bayern,Essenbach
55270,Rheinland-Pfalz,Essenheim
49632,Niedersachsen,Essen/Oldenburg
93343,Bayern,Essing
76879,Rheinland-Pfalz,Essingen
73457,Baden-Württemberg,Essingen
73563,Baden-Württemberg,Essingen
73566,Baden-Württemberg,Essingen
54636,Rheinland-Pfalz,Eßlingen
73728,Baden-Württemberg,Esslingen am Neckar
73730,Baden-Württemberg,Esslingen am Neckar
73732,Baden-Württemberg,Esslingen am Neckar
73733,Baden-Württemberg,Esslingen am Neckar
73734,Baden-Württemberg,Esslingen am Neckar
67754,Rheinland-Pfalz,Eßweiler
97230,Bayern,Estenfeld
26897,Niedersachsen,Esterwegen
67466,Rheinland-Pfalz,Esthal
67468,Rheinland-Pfalz,Esthal
67472,Rheinland-Pfalz,Esthal
21727,Niedersachsen,Estorf
31629,Niedersachsen,Estorf
54424,Rheinland-Pfalz,Etgert
66871,Rheinland-Pfalz,Etschberg
82488,Bayern,Ettal
54655,Rheinland-Pfalz,Etteldorf
77955,Baden-Württemberg,Ettenheim
91796,Bayern,Ettenstatt
99439,Thüringen,Ettersburg
56244,Rheinland-Pfalz,Ettinghausen
76275,Baden-Württemberg,Ettlingen
56729,Rheinland-Pfalz,Ettringen
86833,Bayern,Ettringen
57539,Rheinland-Pfalz,Etzbach
92268,Bayern,Etzelwang
92694,Bayern,Etzenricht
6577,Thüringen,Etzleben
97502,Bayern,Euerbach
97717,Bayern,Euerdorf
57632,Rheinland-Pfalz,Eulenberg
67685,Rheinland-Pfalz,Eulenbis
56761,Rheinland-Pfalz,Eulgem
86495,Bayern,Eurasburg
82547,Bayern,Eurasburg
54597,Rheinland-Pfalz,Euscheid
53879,Nordrhein-Westfalen,Euskirchen
53881,Nordrhein-Westfalen,Euskirchen
97776,Bayern,Eußenheim
76857,Rheinland-Pfalz,Eußerthal
23701,Schleswig-Holstein,Eutin
72184,Baden-Württemberg,Eutingen im Gäu
26556,Niedersachsen,Eversmeer
48351,Nordrhein-Westfalen,Everswinkel
38173,Niedersachsen,Evessen
56244,Rheinland-Pfalz,Ewighausen
32699,Nordrhein-Westfalen,Extertal
49406,Niedersachsen,Eydelstedt
21376,Niedersachsen,Eyendorf
27324,Niedersachsen,Eystrup
56133,Rheinland-Pfalz,Fachbach
24857,Schleswig-Holstein,Fahrdorf
24253,Schleswig-Holstein,Fahren
74864,Baden-Württemberg,Fahrenbach
23795,Schleswig-Holstein,Fahrenkrug
17309,Mecklenburg-Vorpommern,Fahrenwalde
85777,Bayern,Fahrenzhausen
56814,Rheinland-Pfalz,Faid
84326,Bayern,Falkenberg
95685,Bayern,Falkenberg
16259,Brandenburg,Falkenberg
4895,Brandenburg,Falkenberg/Elster
94350,Bayern,Falkenfels
15306,Brandenburg,Falkenhagen (Mark)
14612,Brandenburg,Falkensee
93167,Bayern,Falkenstein
67808,Rheinland-Pfalz,Falkenstein
6333,Sachsen-Anhalt,Falkenstein/Harz
6463,Sachsen-Anhalt,Falkenstein/Harz
6543,Sachsen-Anhalt,Falkenstein/Harz
8223,Sachsen,Falkenstein/Vogtland
8239,Sachsen,Falkenstein/Vogtland
98597,Thüringen,Fambach
82490,Bayern,Farchant
24256,Schleswig-Holstein,Fargau-Pratjau
6279,Sachsen-Anhalt,Farnstädt
54317,Rheinland-Pfalz,Farschweiler
27446,Niedersachsen,Farven
29328,Niedersachsen,Faßberg
97906,Bayern,Faulbach
17139,Mecklenburg-Vorpommern,Faulenrost
25779,Schleswig-Holstein,Fedderingen
56472,Rheinland-Pfalz,Fehl-Ritzhausen
23769,Schleswig-Holstein,Fehmarn
16818,Brandenburg,Fehrbellin
16833,Brandenburg,Fehrbellin
16845,Brandenburg,Fehrbellin
84550,Bayern,Feichten an der Alz
67824,Rheinland-Pfalz,Feilbingert
95183,Bayern,Feilitzsch
54636,Rheinland-Pfalz,Feilsdorf
82340,Bayern,Feldafing
36325,Hessen,Feldatal
79868,Baden-Württemberg,Feldberg
17258,Mecklenburg-Vorpommern,Feldberger Seenlandschaft
24242,Schleswig-Holstein,Felde
23858,Schleswig-Holstein,Feldhorst
94351,Bayern,Feldkirchen
85622,Bayern,Feldkirchen
83620,Bayern,Feldkirchen-Westerham
3130,Brandenburg,Felixsee
54341,Rheinland-Pfalz,Fell
70734,Baden-Württemberg,Fellbach
70736,Baden-Württemberg,Fellbach
97778,Bayern,Fellen
87748,Bayern,Fellheim
24161,Schleswig-Holstein,Felm
24214,Schleswig-Holstein,Felm
24244,Schleswig-Holstein,Felm
34587,Hessen,Felsberg
57580,Rheinland-Pfalz,Fensdorf
92269,Bayern,Fensterbach
17379,Mecklenburg-Vorpommern,Ferdinandshof
37339,Thüringen,Ferna
35463,Hessen,Fernwald
54668,Rheinland-Pfalz,Ferschweiler
90537,Bayern,Feucht
91555,Bayern,Feuchtwangen
54597,Rheinland-Pfalz,Feuerscheid
54584,Rheinland-Pfalz,Feusdorf
95686,Bayern,Fichtelberg
74579,Baden-Württemberg,Fichtenau
74427,Baden-Württemberg,Fichtenberg
15306,Brandenburg,Fichtenhöhe
4936,Brandenburg,Fichtwald
24217,Schleswig-Holstein,Fiefbergen
57635,Rheinland-Pfalz,Fiersbach
70794,Baden-Württemberg,Filderstadt
71111,Baden-Württemberg,Filderstadt
56341,Rheinland-Pfalz,Filsen
26849,Niedersachsen,Filsum
56766,Rheinland-Pfalz,Filz
17209,Mecklenburg-Vorpommern,Fincken
67822,Rheinland-Pfalz,Finkenbach-Gersweiler
17179,Mecklenburg-Vorpommern,Finkenthal
6647,Sachsen-Anhalt,Finne
6647,Sachsen-Anhalt,Finneland
57413,Nordrhein-Westfalen,Finnentrop
86923,Bayern,Finning
89435,Bayern,Finningen
85464,Bayern,Finsing
3238,Brandenburg,Finsterwalde
27389,Niedersachsen,Fintel
26835,Niedersachsen,Firrel
54439,Rheinland-Pfalz,Fisch
86850,Bayern,Fischach
55743,Rheinland-Pfalz,Fischbach
67693,Rheinland-Pfalz,Fischbach
83730,Bayern,Fischbachau
66996,Rheinland-Pfalz,Fischbach bei Dahn
54675,Rheinland-Pfalz,Fischbach-Oberraden
64405,Hessen,Fischbachtal
87538,Bayern,Fischen im Allgäu
77716,Baden-Württemberg,Fischerbach
79592,Baden-Württemberg,Fischingen
25579,Schleswig-Holstein,Fitzbek
21514,Schleswig-Holstein,Fitzen
91604,Bayern,Flachslanden
65558,Rheinland-Pfalz,Flacht
97650,Bayern,Fladungen
57632,Rheinland-Pfalz,Flammersfeld
39345,Sachsen-Anhalt,Flechtingen
39356,Sachsen-Anhalt,Flechtingen
39359,Sachsen-Anhalt,Flechtingen
24357,Schleswig-Holstein,Fleckeby
74223,Baden-Württemberg,Flein
88373,Baden-Württemberg,Fleischwangen
76835,Rheinland-Pfalz,Flemlingen
24937,Schleswig-Holstein,Flensburg
24939,Schleswig-Holstein,Flensburg
24941,Schleswig-Holstein,Flensburg
24943,Schleswig-Holstein,Flensburg
24944,Schleswig-Holstein,Flensburg
54597,Rheinland-Pfalz,Fleringen
36103,Hessen,Flieden
54636,Rheinland-Pfalz,Fließem
17268,Brandenburg,Flieth-Stegelitz
24220,Schleswig-Holstein,Flintbek
83126,Bayern,Flintsbach am Inn
9557,Sachsen,Flöha
98593,Thüringen,Floh-Seligenthal
55234,Rheinland-Pfalz,Flomborn
55237,Rheinland-Pfalz,Flonheim
63639,Hessen,Flörsbachtal
65439,Hessen,Flörsheim
67592,Rheinland-Pfalz,Flörsheim-Dalsheim
61197,Hessen,Florstadt
92685,Bayern,Floß
92696,Bayern,Flossenbürg
38312,Niedersachsen,Flöthe
78737,Baden-Württemberg,Fluorn-Winzeln
54516,Rheinland-Pfalz,Flußbach
57614,Rheinland-Pfalz,Fluterschen
24787,Schleswig-Holstein,Fockbek
66887,Rheinland-Pfalz,Föckelberg
4617,Thüringen,Fockendorf
25563,Schleswig-Holstein,Föhrden-Barl
54343,Rheinland-Pfalz,Föhren
55777,Rheinland-Pfalz,Fohren-Linden
76596,Baden-Württemberg,Forbach
91301,Bayern,Forchheim
79362,Baden-Württemberg,Forchheim
74670,Baden-Württemberg,Forchtenberg
86735,Bayern,Forheim
96524,Thüringen,Föritztal
57537,Rheinland-Pfalz,Forst
76694,Baden-Württemberg,Forst
67147,Rheinland-Pfalz,Forst an der Weinstraße
56754,Rheinland-Pfalz,Forst (Eifel)
85659,Bayern,Forstern
56858,Rheinland-Pfalz,Forst (Hunsrück)
85661,Bayern,Forstinning
3149,Brandenburg,Forst (Lausitz) - Baršć
57635,Rheinland-Pfalz,Forstmehren
55234,Rheinland-Pfalz,Framersheim
97833,Bayern,Frammersbach
67737,Rheinland-Pfalz,Frankelbach
35110,Hessen,Frankenau
35066,Hessen,Frankenberg
9669,Sachsen,Frankenberg/Sachsen
96528,Thüringen,Frankenblick
99441,Thüringen,Frankendorf
67468,Rheinland-Pfalz,Frankeneck
27336,Niedersachsen,Frankenfeld
74586,Baden-Württemberg,Frankenhardt
98634,Thüringen,Frankenheim/Rhön
99826,Thüringen,Frankenroda
67468,Rheinland-Pfalz,Frankenstein
1909,Sachsen,Frankenthal
67227,Rheinland-Pfalz,Frankenthal (Pfalz)
97447,Bayern,Frankenwinheim
60306,Hessen,Frankfurt am Main
60308,Hessen,Frankfurt am Main
60310,Hessen,Frankfurt am Main
60311,Hessen,Frankfurt am Main
60312,Hessen,Frankfurt am Main
60313,Hessen,Frankfurt am Main
60314,Hessen,Frankfurt am Main
60316,Hessen,Frankfurt am Main
60318,Hessen,Frankfurt am Main
60320,Hessen,Frankfurt am Main
60322,Hessen,Frankfurt am Main
60323,Hessen,Frankfurt am Main
60325,Hessen,Frankfurt am Main
60326,Hessen,Frankfurt am Main
60327,Hessen,Frankfurt am Main
60329,Hessen,Frankfurt am Main
60385,Hessen,Frankfurt am Main
60386,Hessen,Frankfurt am Main
60388,Hessen,Frankfurt am Main
60389,Hessen,Frankfurt am Main
60431,Hessen,Frankfurt am Main
60433,Hessen,Frankfurt am Main
60435,Hessen,Frankfurt am Main
60437,Hessen,Frankfurt am Main
60438,Hessen,Frankfurt am Main
60439,Hessen,Frankfurt am Main
60486,Hessen,Frankfurt am Main
60487,Hessen,Frankfurt am Main
60488,Hessen,Frankfurt am Main
60489,Hessen,Frankfurt am Main
60528,Hessen,Frankfurt am Main
60529,Hessen,Frankfurt am Main
60549,Hessen,Frankfurt am Main
60594,Hessen,Frankfurt am Main
60596,Hessen,Frankfurt am Main
60598,Hessen,Frankfurt am Main
60599,Hessen,Frankfurt am Main
65929,Hessen,Frankfurt am Main
65931,Hessen,Frankfurt am Main
65933,Hessen,Frankfurt am Main
65934,Hessen,Frankfurt am Main
65936,Hessen,Frankfurt am Main
15230,Brandenburg,Frankfurt (Oder)
15232,Brandenburg,Frankfurt (Oder)
15234,Brandenburg,Frankfurt (Oder)
15236,Brandenburg,Frankfurt (Oder)
64407,Hessen,Fränkisch-Crumbach
76833,Rheinland-Pfalz,Frankweiler
18461,Mecklenburg-Vorpommern,Franzburg
54316,Rheinland-Pfalz,Franzenheim
83112,Bayern,Frasdorf
94258,Bayern,Frauenau
55776,Rheinland-Pfalz,Frauenberg
1945,Brandenburg,Frauendorf
83553,Bayern,Frauenneuharting
7774,Thüringen,Frauenprießnitz
9623,Sachsen,Frauenstein
85447,Bayern,Fraunberg
8427,Sachsen,Fraureuth
50226,Nordrhein-Westfalen,Frechen
76872,Rheinland-Pfalz,Freckenfeld
23909,Schleswig-Holstein,Fredeburg
21717,Niedersachsen,Fredenbeck
31084,Niedersachsen,Freden (Leine)
15370,Brandenburg,Fredersdorf-Vogelsdorf
23826,Schleswig-Holstein,Fredesdorf
79348,Baden-Württemberg,Freiamt
9599,Sachsen,Freiberg
71691,Baden-Württemberg,Freiberg am Neckar
21729,Niedersachsen,Freiburg (Elbe)
79098,Baden-Württemberg,Freiburg im Breisgau
79100,Baden-Württemberg,Freiburg im Breisgau
79102,Baden-Württemberg,Freiburg im Breisgau
79104,Baden-Württemberg,Freiburg im Breisgau
79106,Baden-Württemberg,Freiburg im Breisgau
79108,Baden-Württemberg,Freiburg im Breisgau
79110,Baden-Württemberg,Freiburg im Breisgau
79111,Baden-Württemberg,Freiburg im Breisgau
79112,Baden-Württemberg,Freiburg im Breisgau
79114,Baden-Württemberg,Freiburg im Breisgau
79115,Baden-Württemberg,Freiburg im Breisgau
79117,Baden-Württemberg,Freiburg im Breisgau
99713,Thüringen,Freienbessingen
37318,Thüringen,Freienhagen
7768,Thüringen,Freienorla
36399,Hessen,Freiensteinau
24991,Schleswig-Holstein,Freienwill
63579,Hessen,Freigericht
92271,Bayern,Freihung
83395,Bayern,Freilassing
55546,Rheinland-Pfalz,Frei-Laubersheim
56244,Rheinland-Pfalz,Freilingen
55234,Rheinland-Pfalz,Freimersheim
67482,Rheinland-Pfalz,Freimersheim (Pfalz)
67098,Rheinland-Pfalz,Freinsheim
67251,Rheinland-Pfalz,Freinsheim
56244,Rheinland-Pfalz,Freirachdorf
67361,Rheinland-Pfalz,Freisbach
66629,Saarland,Freisen
85354,Bayern,Freising
85356,Bayern,Freising
27259,Niedersachsen,Freistatt
1705,Sachsen,Freital
38373,Niedersachsen,Frellstedt
86742,Bayern,Fremdingen
96158,Bayern,Frensdorf
49832,Niedersachsen,Freren
49762,Niedersachsen,Fresenburg
25876,Schleswig-Holstein,Fresendelf
25727,Schleswig-Holstein,Frestedt
67596,Rheinland-Pfalz,Frettenheim
37318,Thüringen,Fretterode
57258,Nordrhein-Westfalen,Freudenberg
97896,Baden-Württemberg,Freudenberg
92272,Bayern,Freudenberg
54450,Rheinland-Pfalz,Freudenburg
72250,Baden-Württemberg,Freudenstadt
74392,Baden-Württemberg,Freudental
6632,Sachsen-Anhalt,Freyburg (Unstrut)
92342,Bayern,Freystadt
94078,Bayern,Freyung
72636,Baden-Württemberg,Frickenhausen
97252,Bayern,Frickenhausen a.Main
88699,Baden-Württemberg,Frickingen
78567,Baden-Württemberg,Fridingen an der Donau
83413,Bayern,Fridolfing
86316,Bayern,Friedberg
61169,Hessen,Friedberg (Hessen)
26446,Niedersachsen,Friedeburg
98634,Thüringen,Friedelshausen
67159,Rheinland-Pfalz,Friedelsheim
95688,Bayern,Friedenfels
79877,Baden-Württemberg,Friedenweiler
36289,Hessen,Friedewald
57520,Rheinland-Pfalz,Friedewald
15848,Brandenburg,Friedland
37133,Niedersachsen,Friedland
17098,Mecklenburg-Vorpommern,Friedland
99894,Thüringen,Friedrichroda
61273,Hessen,Friedrichsdorf
61381,Hessen,Friedrichsdorf
25764,Schleswig-Holstein,Friedrichsgabekoog
24799,Schleswig-Holstein,Friedrichsgraben
88045,Baden-Württemberg,Friedrichshafen
88046,Baden-Württemberg,Friedrichshafen
88048,Baden-Württemberg,Friedrichshafen
24799,Schleswig-Holstein,Friedrichsholm
25718,Schleswig-Holstein,Friedrichskoog
19089,Mecklenburg-Vorpommern,Friedrichsruhe
25840,Schleswig-Holstein,Friedrichstadt
66299,Saarland,Friedrichsthal
16247,Brandenburg,Friedrichswalde
25924,Schleswig-Holstein,Friedrich-Wilhelm-Lübke-Koog
34621,Hessen,Frielendorf
99869,Thüringen,Friemar
14662,Brandenburg,Friesack
51598,Rheinland-Pfalz,Friesenhagen
77948,Baden-Württemberg,Friesenheim
55278,Rheinland-Pfalz,Friesenheim
87654,Bayern,Friesenried
26169,Niedersachsen,Friesoythe
71292,Baden-Württemberg,Friolzheim
78665,Baden-Württemberg,Frittlingen
34560,Hessen,Fritzlar
4654,Sachsen,Frohburg
79677,Baden-Württemberg,Fröhnd
66903,Rheinland-Pfalz,Frohnhofen
58730,Nordrhein-Westfalen,Fröndenberg/Ruhr
35112,Hessen,Fronhausen
55471,Rheinland-Pfalz,Fronhofen
88273,Baden-Württemberg,Fronreute
84160,Bayern,Frontenhausen
56132,Rheinland-Pfalz,Frücht
53533,Rheinland-Pfalz,Fuchshofen
95689,Bayern,Fuchsmühl
97727,Bayern,Fuchsstadt
86925,Bayern,Fuchstal
18356,Mecklenburg-Vorpommern,Fuhlendorf
24649,Schleswig-Holstein,Fuhlendorf
21493,Schleswig-Holstein,Fuhlenhagen
36037,Hessen,Fulda
36039,Hessen,Fulda
36041,Hessen,Fulda
36043,Hessen,Fulda
34277,Hessen,Fuldabrück
34127,Hessen,Fuldatal
34233,Hessen,Fuldatal
17213,Mecklenburg-Vorpommern,Fünfseen
86681,Bayern,Fünfstetten
55546,Rheinland-Pfalz,Fürfeld
49584,Niedersachsen,Fürstenau
37699,Niedersachsen,Fürstenberg
16798,Brandenburg,Fürstenberg/Havel
94142,Bayern,Fürsteneck
82256,Bayern,Fürstenfeldbruck
