Schlüssel WZ 2008,Beschreibung
10420,Herstellung von Margarine u. ä. Nahrungsfetten
10510,Milchverarbeitung (ohne Herstellung von Speiseeis)
10520,Herstellung von Speiseeis
10610,Mahl- und Schälmühlen
10620,Herstellung von Stärke und Stärkeerzeugnissen
10710,Herstellung von Backwaren (ohne Dauerbackwaren)
10720,Herstellung von Dauerbackwaren
10730,Herstellung von Teigwaren
10810,Herstellung von Zucker
10820,Herstellung von Süßwaren (ohne Dauerbackwaren)
10830,"Verarbeitung von Kaffee und Tee, Herstellung von Kaffee-Ersatz"
10840,Herstellung von Würzmitteln und Soßen
10850,Herstellung von Fertiggerichten
10860,Herstellung von homogenisierten und diätetischen Nahrungsmitteln
10890,Herstellung von sonstigen Nahrungsmitteln a. n. g.
10910,Herstellung von Futtermitteln für Nutztiere
10920,Herstellung von Futtermitteln für sonstige Tiere
11010,Herstellung von Spirituosen
11020,Herstellung von Traubenwein
11030,Herstellung von Apfelwein und anderen Fruchtweinen
11040,Herstellung von Wermutwein und sonstigen aromatisierten Weinen
11050,Herstellung von Bier
11060,Herstellung von Malz
11070,Herstellung von Erfrischungsgetränken; Gewinnung natürlicher Mineralwässer
12000,Tabakverarbeitung
13100,Spinnstoffaufbereitung und Spinnerei
13200,Weberei
13300,Veredlung von Textilien und Bekleidung
13910,Herstellung von gewirktem und gestricktem Stoff
13920,Herstellung von konfektionierten Textilwaren (ohne Bekleidung)
13930,Herstellung von Teppichen
13940,Herstellung von Seilerwaren
13950,Herstellung von Vliesstoff und Erzeugnissen daraus (ohne Bekleidung)
13960,Herstellung von technischen Textilien
13990,Herstellung von sonstigen Textilwaren a. n. g.
14110,Herstellung von Lederbekleidung
14120,Herstellung von Arbeits- und Berufsbekleidung
14131,Herstellung von gewebter Oberbekleidung für Herren und Knaben
14132,Herstellung von gewebter Oberbekleidung für Damen und Mädchen
14133,Herstellung von gewirkter und gestrickter Oberbekleidung
14141,Herstellung von gewebter Wäsche (ohne Miederwaren)
14142,Herstellung von gewirkter und gestrickter Wäsche (ohne Miederwaren)
14143,Herstellung von Miederwaren
14190,Herstellung von sonstiger Bekleidung und Bekleidungszubehör a. n. g.
14200,Herstellung von Pelzwaren
14310,Herstellung von Strumpfwaren
14390,Herstellung von sonstiger Bekleidung aus gewirktem und gestricktem Stoff
15110,Herstellung von Leder und Lederfaserstoff; Zurichtung und Färben von Fellen
15120,Lederverarbeitung (ohne Herstellung von Lederbekleidung)
15200,Herstellung von Schuhen
16100,"Säge-, Hobel- und Holzimprägnierwerke"
16210,"Herstellung von Furnier-, Sperrholz-, Holzfaser- und Holzspanplatten"
16220,Herstellung von Parketttafeln
16230,"Herstellung von sonstigen Konstruktionsteilen, Fertigbauteilen, Ausbauelementen und Fertigteilbauten aus Holz"
16240,"Herstellung von Verpackungsmitteln, Lagerbehältern und Ladungsträgern aus Holz"
16290,"Herstellung von Holzwaren a. n. g., Kork-, Flecht- und Korbwaren (ohne Möbel)"
17110,Herstellung von Holz- und Zellstoff
17120,"Herstellung von Papier, Karton und Pappe"
17210,"Herstellung von Wellpapier und -pappe sowie von Verpackungsmitteln aus Papier, Karton und Pappe"
17220,"Herstellung von Haushalts-, Hygiene- und Toilettenartikeln aus Zellstoff, Papier und Pappe"
17230,"Herstellung von Schreibwaren und Bürobedarf aus Papier, Karton und Pappe"
17240,Herstellung von Tapeten
17290,"Herstellung von sonstigen Waren aus Papier, Karton und Pappe"
18110,Drucken von Zeitungen
18120,Drucken a. n. g.
18130,Druck- und Medienvorstufe
18140,Binden von Druckerzeugnissen und damit verbundene Dienstleistungen
18200,"Vervielfältigung von bespielten Ton-, Bild- und Datenträgern"
19100,Kokerei
19200,Mineralölverarbeitung
20110,Herstellung von Industriegasen
20120,Herstellung von Farbstoffen und Pigmenten
20130,Herstellung von sonstigen anorganischen Grundstoffen und Chemikalien
20140,Herstellung von sonstigen organischen Grundstoffen und Chemikalien
20150,Herstellung von Düngemitteln und Stickstoffverbindungen
20160,Herstellung von Kunststoffen in Primärformen
20170,Herstellung von synthetischem Kautschuk in Primärformen
20200,"Herstellung von Schädlingsbekämpfungs-, Pflanzenschutz- und Desinfektionsmitteln"
20300,"Herstellung von Anstrichmitteln, Druckfarben und Kitten"
20410,"Herstellung von Seifen, Wasch-, Reinigungs- und Poliermitteln"
20420,Herstellung von Körperpflegemitteln und Duftstoffen
20510,Herstellung von pyrotechnischen Erzeugnissen
20520,Herstellung von Klebstoffen
20530,Herstellung von etherischen Ölen
20590,Herstellung von sonstigen chemischen Erzeugnissen a. n. g.
20600,Herstellung von Chemiefasern
21100,Herstellung von pharmazeutischen Grundstoffen
21200,Herstellung von pharmazeutischen Spezialitäten und sonstigen pharmazeutischen Erzeugnissen
22110,Herstellung und Runderneuerung von Bereifungen
22190,Herstellung von sonstigen Gummiwaren
22210,"Herstellung von Platten, Folien, Schläuchen und Profilen aus Kunststoffen"
22220,Herstellung von Verpackungsmitteln aus Kunststoffen
22230,Herstellung von Baubedarfsartikeln aus Kunststoffen
22290,Herstellung von sonstigen Kunststoffwaren
23110,Herstellung von Flachglas
23120,Veredlung und Bearbeitung von Flachglas
23130,Herstellung von Hohlglas
23140,Herstellung von Glasfasern und Waren daraus
23190,"Herstellung, Veredlung und Bearbeitung von sonstigem Glas einschließlich technischen Glaswaren"
23200,Herstellung von feuerfesten keramischen Werkstoffen und Waren
23310,Herstellung von keramischen Wand- und Bodenfliesen und -platten
23320,Herstellung von Ziegeln und sonstiger Baukeramik
23410,Herstellung von keramischen Haushaltswaren und Ziergegenständen
23420,Herstellung von Sanitärkeramik
23430,Herstellung von Isolatoren und Isolierteilen aus Keramik
23440,Herstellung von keramischen Erzeugnissen für sonstige technische Zwecke
23490,Herstellung von sonstigen keramischen Erzeugnissen
23510,Herstellung von Zement
23520,Herstellung von Kalk und gebranntem Gips
23610,"Herstellung von Erzeugnissen aus Beton, Zement und Kalksandstein für den Bau"
23620,Herstellung von Gipserzeugnissen für den Bau
23630,Herstellung von Frischbeton (Transportbeton)
23640,Herstellung von Mörtel und anderem Beton (Trockenbeton)
23650,Herstellung von Faserzementwaren
23690,"Herstellung von sonstigen Erzeugnissen aus Beton, Zement und Gips a. n. g."
23700,Be- und Verarbeitung von Naturwerksteinen und Natursteinen a. n. g.
23910,Herstellung von Schleifkörpern und Schleifmitteln auf Unterlage
23990,Herstellung von sonstigen Erzeugnissen aus nichtmetallischen Mineralien a. n. g.
24100,"Erzeugung von Roheisen, Stahl und Ferrolegierungen"
24201,Herstellung von Stahlrohren (ohne Präzisionsstahlrohre)
24202,Herstellung von Präzisionsstahlrohren
24203,"Herstellung von Rohrform-, Rohrverschluss- und Rohrverbindungsstücken aus Stahl"
24310,Herstellung von Blankstahl
24320,Herstellung von Kaltband mit einer Breite von weniger als 600 mm
24330,Herstellung von Kaltprofilen
24340,Herstellung von kaltgezogenem Draht
24410,Erzeugung und erste Bearbeitung von Edelmetallen
24420,Erzeugung und erste Bearbeitung von Aluminium
24430,"Erzeugung und erste Bearbeitung von Blei, Zink und Zinn"
24440,Erzeugung und erste Bearbeitung von Kupfer
24450,Erzeugung und erste Bearbeitung von sonstigen NE-Metallen
24460,Aufbereitung von Kernbrennstoffen
24510,Eisengießereien
24520,Stahlgießereien
24530,Leichtmetallgießereien
24540,Buntmetallgießereien
25110,Herstellung von Metallkonstruktionen
25120,Herstellung von Ausbauelementen aus Metall
25210,Herstellung von Heizkörpern und -kesseln für Zentralheizungen
25290,"Herstellung von Sammelbehältern, Tanks u. ä. Behältern aus Metall"
25300,Herstellung von Dampfkesseln (ohne Zentralheizungskessel)
25400,Herstellung von Waffen und Munition
25501,Herstellung von Freiformschmiedestücken
25502,Herstellung von Gesenkschmiedeteilen
25503,Herstellung von Kaltfließpressteilen
25504,"Herstellung von Press-, Zieh- und Stanzteilen"
25505,Herstellung von pulvermetallurgischen Erzeugnissen
25610,Oberflächenveredlung und Wärmebehandlung
25620,Mechanik a. n. g.
25710,Herstellung von Schneidwaren und Bestecken aus unedlen Metallen
25720,Herstellung von Schlössern und Beschlägen aus unedlen Metallen
25731,Herstellung von Handwerkzeugen
25732,Herstellung von Sägen und von Maschinenwerkzeugen für die Holzbearbeitung
25733,Herstellung von auswechselbaren Werkzeugen für die Metallbearbeitung a. n. g.
25734,Herstellung von Geräten für die Landwirtschaft
25735,Herstellung von sonstigen Werkzeugen
25910,"Herstellung von Fässern, Trommeln, Dosen, Eimern u. ä. Behältern aus Metall"
25920,"Herstellung von Verpackungen und Verschlüssen aus Eisen, Stahl und NE-Metall"
25930,"Herstellung von Drahtwaren, Ketten und Federn"
25940,Herstellung von Schrauben und Nieten
25991,Herstellung von nicht elektrischen Haushaltsartikeln aus Metall
25992,Herstellung von Panzerschränken und Tresoranlagen
25993,Herstellung von Metallwaren a. n. g.
26111,Herstellung von Solarzellen und Solarmodulen
26119,Herstellung von sonstigen elektronischen Bauelementen
26120,Herstellung von bestückten Leiterplatten
26200,Herstellung von Datenverarbeitungsgeräten und peripheren Geräten
26300,Herstellung von Geräten und Einrichtungen der Telekommunikationstechnik
26400,Herstellung von Geräten der Unterhaltungselektronik
26511,"Herstellung von elektrischen Mess-, Kontroll-, Navigations- u. ä. Instrumenten und Vorrichtungen"
26512,"Herstellung von nicht elektrischen Mess-, Kontroll-, Navigations- u. ä. Instrumenten und Vorrichtungen"
26513,Herstellung von Prüfmaschinen
26520,Herstellung von Uhren
26600,Herstellung von Bestrahlungs- und Elektrotherapiegeräten und elektromedizinischen Geräten
26700,Herstellung von optischen und fotografischen Instrumenten und Geräten
26800,Herstellung von magnetischen und optischen Datenträgern
27110,"Herstellung von Elektromotoren, Generatoren und Transformatoren"
27120,Herstellung von Elektrizitätsverteilungs- und -schalteinrichtungen
27200,Herstellung von Batterien und Akkumulatoren
27310,Herstellung von Glasfaserkabeln
27320,Herstellung von sonstigen elektronischen und elektrischen Drähten und Kabeln
27330,Herstellung von elektrischem Installationsmaterial
27400,Herstellung von elektrischen Lampen und Leuchten
27510,Herstellung von elektrischen Haushaltsgeräten
27520,Herstellung von nichtelektrischen Haushaltsgeräten
27900,Herstellung von sonstigen elektrischen Ausrüstungen und Geräten a. n. g.
28110,Herstellung von Verbrennungsmotoren und Turbinen (ohne Motoren für Luft- und Straßenfahrzeuge)
28120,Herstellung von hydraulischen und pneumatischen Komponenten und Systemen
28130,Herstellung von Pumpen und Kompressoren a. n. g.
28140,Herstellung von Armaturen a. n. g.
28150,"Herstellung von Lagern, Getrieben, Zahnrädern und Antriebselementen"
28211,Herstellung von Solarwärmekollektoren
28219,Herstellung von sonstigen Öfen und Brennern
28220,Herstellung von Hebezeugen und Fördermitteln
28230,Herstellung von Büromaschinen (ohne Datenverarbeitungsgeräte und periphere Geräte)
28240,Herstellung von handgeführten Werkzeugen mit Motorantrieb
28250,"Herstellung von kälte- und lufttechnischen Erzeugnissen, nicht für den Haushalt"
28290,Herstellung von sonstigen nicht wirtschaftszweigspezifischen Maschinen a. n. g.
28300,Herstellung von land- und forstwirtschaftlichen Maschinen
28410,Herstellung von Werkzeugmaschinen für die Metallbearbeitung
28491,"Herstellung von Werkzeugmaschinen zur Bearbeitung von Steinen, Beton und sonstigen mineralischen Stoffen"
28492,Herstellung von Werkzeugmaschinen zur Bearbeitung von sonstigen harten Stoffen
28493,Herstellung von Maschinenspannzeugen und sonstigem Zubehör für Werkzeugmaschinen
28499,Herstellung von sonstigen Werkzeugmaschinen a. n. g.
28910,"Herstellung von Maschinen für die Metallerzeugung, von Walzwerkseinrichtungen und Gießmaschinen"
28921,Herstellung von Bergwerksmaschinen
28922,Herstellung von Bau- und Baustoffmaschinen
28930,Herstellung von Maschinen für die Nahrungs- und Genussmittelerzeugung und die Tabakverarbeitung
28940,Herstellung von Maschinen für die Textil- und Bekleidungsherstellung und die Lederverarbeitung
28950,Herstellung von Maschinen für die Papiererzeugung und -verarbeitung
28960,Herstellung von Maschinen für die Verarbeitung von Kunststoffen und Kautschuk
28990,Herstellung von Maschinen für sonstige bestimmte Wirtschaftszweige a. n. g.
29101,Herstellung von Personenkraftwagen und Personenkraftwagenmotoren
29102,Herstellung von Nutzkraftwagen und Nutzkraftwagenmotoren
29200,"Herstellung von Karosserien, Aufbauten und Anhängern"
29310,Herstellung elektrischer und elektronischer Ausrüstungsgegenstände für Kraftwagen
29320,Herstellung von sonstigen Teilen und sonstigem Zubehör für Kraftwagen
30110,Schiffbau (ohne Boots- und Yachtbau)
30120,Boots- und Yachtbau
30201,Herstellung von Lokomotiven und anderen Schienenfahrzeugen
30202,Herstellung von Eisenbahninfrastruktur
30300,Luft- und Raumfahrzeugbau
30400,Herstellung von militärischen Kampffahrzeugen
30910,Herstellung von Krafträdern
30920,Herstellung von Fahrrädern sowie von Behindertenfahrzeugen
30990,Herstellung von sonstigen Fahrzeugen a. n. g.
31011,Herstellung von Büromöbeln
31012,Herstellung von Ladenmöbeln und sonstigen Objektmöbeln
31020,Herstellung von Küchenmöbeln
31030,Herstellung von Matratzen
31091,Herstellung von Polstermöbeln
31099,Herstellung von sonstigen Möbeln a. n. g.
32110,Herstellung von Münzen
32120,"Herstellung von Schmuck, Gold- und Silberschmiedewaren (ohne Fantasieschmuck)"
32130,Herstellung von Fantasieschmuck
32200,Herstellung von Musikinstrumenten
32300,Herstellung von Sportgeräten
32400,Herstellung von Spielwaren
32501,Herstellung von medizintechnischen Apparaten und Materialien a. n. g.
32502,Herstellung von orthopädischen Erzeugnissen
32503,Zahntechnische Laboratorien
32910,Herstellung von Besen und Bürsten
32990,Herstellung von sonstigen Erzeugnissen a. n. g.
33110,Reparatur von Metallerzeugnissen
33120,Reparatur von Maschinen
33130,Reparatur von elektronischen und optischen Geräten
33140,Reparatur von elektrischen Ausrüstungen
33150,"Reparatur und Instandhaltung von Schiffen, Booten und Yachten"
33160,Reparatur und Instandhaltung von Luft- und Raumfahrzeugen
33170,Reparatur und Instandhaltung von Fahrzeugen a. n. g.
33190,Reparatur von sonstigen Ausrüstungen
33200,Installation von Maschinen und Ausrüstungen a. n. g.
35111,Elektrizitätserzeugung ohne Verteilung
35112,Elektrizitätserzeugung mit Fremdbezug zur Verteilung
35113,Elektrizitätserzeugung ohne Fremdbezug zur Verteilung
35120,Elektrizitätsübertragung
35130,Elektrizitätsverteilung
35140,Elektrizitätshandel
35211,Gaserzeugung ohne Verteilung
35212,Gaserzeugung mit Fremdbezug zur Verteilung
35213,Gaserzeugung ohne Fremdbezug zur Verteilung
35220,Gasverteilung durch Rohrleitungen
35230,Gashandel durch Rohrleitungen
35300,Wärme- und Kälteversorgung
36001,Wassergewinnung mit Fremdbezug zur Verteilung
36002,Wassergewinnung ohne Fremdbezug zur Verteilung
36003,Wasserverteilung ohne Gewinnung
37001,Betrieb der Sammelkanalisation
37002,Betrieb von Kläranlagen
38110,Sammlung nicht gefährlicher Abfälle
38120,Sammlung gefährlicher Abfälle
38210,Behandlung und Beseitigung nicht gefährlicher Abfälle
38220,Behandlung und Beseitigung gefährlicher Abfälle
38310,Zerlegen von Schiffs- und Fahrzeugwracks und anderen Altwaren
38320,Rückgewinnung sortierter Werkstoffe
39000,Beseitigung von Umweltverschmutzungen und sonstige Entsorgung
41101,Erschließung von unbebauten Grundstücken
41102,Bauträger für Nichtwohngebäude
41103,Bauträger für Wohngebäude
41201,Bau von Gebäuden (ohne Fertigteilbau)
41202,Errichtung von Fertigteilbauten
42110,Bau von Straßen
42120,Bau von Bahnverkehrsstrecken
42130,Brücken- und Tunnelbau
42210,"Rohrleitungstiefbau, Brunnenbau und Kläranlagenbau"
42220,Kabelnetzleitungstiefbau
42910,Wasserbau
42990,Sonstiger Tiefbau a. n. g.
43110,Abbrucharbeiten
43120,Vorbereitende Baustellenarbeiten
43130,Test- und Suchbohrung
43210,Elektroinstallation
43220,"Gas-, Wasser-, Heizungs- sowie Lüftungs- und Klimainstallation"
43291,"Dämmung gegen Kälte, Wärme, Schall und Erschütterung"
43299,Sonstige Bauinstallation a. n. g.
43310,"Anbringen von Stuckaturen, Gipserei und Verputzerei"
43320,Bautischlerei und -schlosserei
43330,"Fußboden-, Fliesen- und Plattenlegerei, Tapeziererei"
43341,Maler- und Lackierergewerbe
43342,Glasergewerbe
43390,Sonstiger Ausbau a. n. g.
43911,Dachdeckerei und Bauspenglerei
43912,Zimmerei und Ingenieurholzbau
43991,Gerüstbau
43992,"Schornstein-, Feuerungs- und Industrieofenbau"
43999,Baugewerbe a. n. g.
45110,"Handel mit Kraftwagen mit einem Gesamtgewicht von 3,5 t oder weniger"
45190,"Handel mit Kraftwagen mit einem Gesamtgewicht von mehr als 3,5 t"
45201,Lackieren von Kraftwagen
45202,Autowaschanlagen
45203,"Instandhaltung und Reparatur von Kraftwagen mit einem Gesamtgewicht von 3,5 t oder weniger (ohne Lackierung und Autowäsche)"
45204,"Instandhaltung und Reparatur von Kraftwagen mit einem Gesamtgewicht von mehr als 3,5 t (ohne Lackierung und Autowäsche)"
45310,Großhandel mit Kraftwagenteilen und -zubehör
45320,Einzelhandel mit Kraftwagenteilen und -zubehör
45400,"Handel mit Krafträdern, Kraftradteilen und -zubehör; Instandhaltung und Reparatur von Krafträdern"
46110,"Handelsvermittlung von landwirtschaftlichen Grundstoffen, lebenden Tieren, textilen Rohstoffen und Halbwaren"
46120,"Handelsvermittlung von Brennstoffen, Erzen, Metallen und technischen Chemikalien"
46131,"Handelsvermittlung von Rohholz, Holzhalbwaren und Bauelementen aus Holz"
46132,Handelsvermittlung von Baustoffen und Anstrichmitteln
46141,Handelsvermittlung von Maschinen (ohne landwirtschaftliche Maschinen und Büromaschinen) und technischem Bedarf a. n. g.
46142,Handelsvermittlung von Wasser- und Luftfahrzeugen
46143,Handelsvermittlung von Geräten der Unterhaltungselektronik
46144,Handelsvermittlung von Werkzeugen
46145,"Handelsvermittlung von Büromaschinen, Datenverarbeitungsgeräten, peripheren Geräten und Software"
46146,Handelsvermittlung von landwirtschaftlichen Maschinen und Geräten
46147,"Handelsvermittlung von Installationsbedarf für Gas, Wasser, Heizung und Klimatechnik"
46149,Handelsvermittlung von elektrotechnischen und elektronischen Erzeugnissen a. n. g.
46151,"Handelsvermittlung von Möbeln, Einrichtungsgegenständen und Antiquitäten"
46152,"Handelsvermittlung von keramischen Erzeugnissen, Glaswaren, Holzwaren a. n. g., sowie Flecht- und Korbwaren"
46153,Handelsvermittlung von elektrischen Haushaltsgeräten
46154,"Handelsvermittlung von Eisen-, Metall- und Kunststoffwaren a. n. g."
46155,Handelsvermittlung von Putz- und Reinigungsmitteln
46161,Handelsvermittlung von Meterware für Bekleidung und Wäsche
46162,Handelsvermittlung von Heim- und Haustextilien und Bodenbelägen
46163,Handelsvermittlung von Bekleidung
46164,Handelsvermittlung von Bekleidungszubehör
46165,"Handelsvermittlung von Schuhen, Lederwaren und Reisegepäck"
46171,Handelsvermittlung von Zucker und Süßwaren
46172,"Handelsvermittlung von Wein, Sekt und Spirituosen"
46179,"Handelsvermittlung von sonstigen Nahrungsmitteln, Getränken und Tabakwaren"
46181,"Handelsvermittlung von feinmechanischen, Foto- und optischen Erzeugnissen"
46182,"Handelsvermittlung von Uhren, Edelmetallwaren und Schmuck"
46183,Handelsvermittlung von Spielwaren und Musikinstrumenten
46184,"Handelsvermittlung von pharmazeutischen Erzeugnissen, medizinischen und orthopädischen Artikeln und Laborbedarf, Ärztebedarf, Dentalbedarf, zahnärztlichen Instrumenten, Krankenhaus- und Altenpflegebedarf"
46185,Handelsvermittlung von kosmetischen Erzeugnissen und Körperpflegemitteln
46186,"Handelsvermittlung von Karton, Papier und Pappe, Schreibwaren, Bürobedarf, Geschenk- und Werbeartikeln, Verpackungsmitteln und Tapeten"
46187,"Handelsvermittlung von Büchern, Zeitschriften, Zeitungen, Musikalien und sonstigen Druckerzeugnissen"
46189,Handelsvermittlung von sonstigen Waren a. n. g.
46190,Handelsvermittlung von Waren ohne ausgeprägten Schwerpunkt
46210,"Großhandel mit Getreide, Rohtabak, Saatgut und Futtermitteln"
46220,Großhandel mit Blumen und Pflanzen
46230,Großhandel mit lebenden Tieren
46240,"Großhandel mit Häuten, Fellen und Leder"
46310,"Großhandel mit Obst, Gemüse und Kartoffeln"
46320,Großhandel mit Fleisch und Fleischwaren
46330,"Großhandel mit Milch, Milcherzeugnissen, Eiern, Speiseölen und Nahrungsfetten"
46340,Großhandel mit Getränken
46350,Großhandel mit Tabakwaren
46360,"Großhandel mit Zucker, Süßwaren und Backwaren"
46370,"Großhandel mit Kaffee, Tee, Kakao und Gewürzen"
46381,Großhandel mit Fisch und Fischerzeugnissen
46382,Großhandel mit Mehl und Getreideprodukten
46389,Großhandel mit Nahrungs- und Genussmitteln a. n. g.
46391,"Großhandel mit tiefgefrorenen Nahrungsmitteln, ohne ausgeprägten Schwerpunkt"
46399,"Großhandel mit sonstigen Nahrungs- und Genussmitteln, Getränken und Tabakwaren, ohne ausgeprägten Schwerpunkt"
46410,Großhandel mit Textilien
46421,Großhandel mit Bekleidung
46422,Großhandel mit Schuhen
46431,Großhandel mit Foto- und optischen Erzeugnissen
46432,Großhandel mit elektrischen Haushaltsgeräten
46433,Großhandel mit Geräten der Unterhaltungselektronik
46441,Großhandel mit keramischen Erzeugnissen und Glaswaren
46442,"Großhandel mit Wasch-, Putz- und Reinigungsmitteln"
46450,Großhandel mit kosmetischen Erzeugnissen und Körperpflegemitteln
46461,Großhandel mit pharmazeutischen Erzeugnissen
46462,"Großhandel mit medizinischen und orthopädischen Artikeln, Dental- und Laborbedarf"
46470,"Großhandel mit Möbeln, Teppichen, Lampen und Leuchten"
46480,Großhandel mit Uhren und Schmuck
46491,Großhandel mit Spielwaren und Musikinstrumenten
46492,"Großhandel mit Fahrrädern, Fahrradteilen und -zubehör, Sport- und Campingartikeln (ohne Campingmöbel)"
46493,"Großhandel mit Lederwaren, Reisegepäck, Geschenk- und Werbeartikeln"
46494,"Großhandel mit Karton, Papier, Pappe, Schreibwaren, Bürobedarf, Büchern, Zeitschriften und Zeitungen"
46495,"Großhandel mit nicht elektrischen Haushaltsgeräten, Haushaltswaren aus Metall sowie sonstigen Gebrauchs- und Verbrauchsgütern a. n. g."
46510,"Großhandel mit Datenverarbeitungsgeräten, peripheren Geräten und Software"
46520,Großhandel mit elektronischen Bauteilen und Telekommunikationsgeräten
46610,Großhandel mit landwirtschaftlichen Maschinen und Geräten
46620,Großhandel mit Werkzeugmaschinen
46630,"Großhandel mit Bergwerks-, Bau- und Baustoffmaschinen"
46640,"Großhandel mit Textil-, Näh- und Strickmaschinen"
46650,Großhandel mit Büromöbeln
46660,Großhandel mit sonstigen Büromaschinen und -einrichtungen
46691,Großhandel mit Flurförderzeugen und Fahrzeugen a. n. g.
46692,Großhandel mit sonstigen Maschinen
46693,Großhandel mit sonstigen Ausrüstungen und Zubehör für Maschinen sowie mit technischem Bedarf
46711,Großhandel mit festen Brennstoffen
46712,Großhandel mit Mineralölerzeugnissen
46721,"Großhandel mit Eisenerzen, Eisen, Stahl, Eisen- und Stahlhalbzeug"
46722,"Großhandel mit NE-Erzen, NE-Metallen und NE-Metallhalbzeug"
46730,"Großhandel mit Holz, Baustoffen, Anstrichmitteln und Sanitärkeramik"
46731,"Großhandel mit Holz, Baustoffen, Anstrichmitteln und Sanitärkeramik, ohne ausgeprägten Schwerpunkt"
46732,Großhandel mit Roh- und Schnittholz
46733,Großhandel mit sonstigen Holzhalbwaren sowie Bauelementen aus Holz
46734,Großhandel mit Baustoffen und Bauelementen aus mineralischen Stoffen
46735,Großhandel mit Flachglas
46736,Großhandel mit Anstrichmitteln
46737,Großhandel mit Sanitärkeramik
46738,Großhandel mit Tapeten und Bodenbelägen (ohne Teppiche)
46741,Großhandel mit Werkzeugen und Kleineisenwaren
46742,"Großhandel mit Installationsbedarf für Gas, Wasser und Heizung"
46743,Großhandel mit Metall- und Kunststoffwaren für Bauzwecke
46750,Großhandel mit chemischen Erzeugnissen
46760,Großhandel mit sonstigen Halbwaren
46770,Großhandel mit Altmaterialien und Reststoffen
46901,"Großhandel mit Rohstoffen, Halb- und Fertigwaren, ohne ausgeprägten Schwerpunkt"
46902,"Großhandel mit Rohstoffen und Halbwaren, ohne ausgeprägten Schwerpunkt"
46903,"Großhandel mit Fertigwaren, ohne ausgeprägten Schwerpunkt"
47111,"Einzelhandel mit Nahrungs- und Genussmitteln, Getränken und Tabakwaren, ohne ausgeprägten Schwerpunkt"
47112,"Sonstiger Einzelhandel mit Waren verschiedener Art, Hauptrichtung Nahrungs- und Genussmittel, Getränke und Tabakwaren"
